"org_id","cluster_id","node_name","name","read_iops","write_iops","read_throughput","write_throughput","size","ts"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-0",120,0,5904402.88768605,0,2087714816,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda10",0,0,109.11696454554567,0,512,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","dm-1",4,18,213886.0377345842,3373023.608031908,8581545984,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","md0",5,28,267873.75434665725,3374165.1393533074,8579448832,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda11",4,0,23032.073131767487,0,8388608,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda",216,76666,12979488.113530628,825699538.5715381,21474836480,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda12",3,0,50563.12264787439,0,33554432,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda4",4,0,70170.60181544322,0,16777216,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda9",0,0,109.11696454554567,0,512,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda6",0,0,109.11696454554567,0,512,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda3",106,0,6278355.118796293,0,2147483648,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda7",0,0,109.11696454554567,0,512,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda2",4,0,70170.60181544322,0,16777216,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda8",1,0,21168.691121835862,0,16777216,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sda5",6,0,233409.58077557955,0,2147483648,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdg",6,0,144638.73331144947,1108603.1789447719,4294967296,"2025-09-02 11:18:57.490"
"46501dbc-3205-4b6c-81ac-f7c5e38539f6","2f9ffa04-2160-4ba7-a54a-609c33c5eaf4","gke-gke-2708-0-kryst-multi-device-poo-9545024a-9wgf","sdb",13,57,329231.0628718834,120910057.47802322,402653184000,"2025-09-02 11:18:57.490"
